"phi","psi","eta"
"0.009551","0.115008303760707","0.680434"
"0.009579","0.114764534509161","0.680105"
"0.009589","0.114472150501945","0.678163"
"0.009601","0.114436800595193","0.678678"
"0.009627","0.114078005204517","0.67713"
"0.00963","0.113886693060497","0.675676"
"0.009654","0.113673053697296","0.67536"
"0.009676","0.113230628199419","0.67288"
"0.009686","0.11322063701162","0.673412"
"0.00972","0.112723394924225","0.671236"
"0.009757","0.112173243816973","0.66884"
"0.009759","0.112293511777693","0.669997"
"0.009785","0.11191540897019","0.668313"
"0.009799","0.111568193855494","0.666197"
"0.009813","0.111492256684634","0.666437"
"0.009844","0.111026906290821","0.664368"
"0.009845","0.110897612739826","0.663266"
"0.009879","0.11051436711181","0.662084"
"0.009918","0.10995172410036","0.659587"
"0.009935","0.109823011537519","0.659573"
"0.009959","0.109334330716271","0.656824"
"0.009964","0.109384791602263","0.657588"
"0.009995","0.108905280661479","0.655402"
"0.010004","0.108644742407876","0.653729"
"0.01003","0.108382752490279","0.653029"
"0.01007","0.107747654025513","0.650139"
"0.010108","0.107284040317704","0.648502"
"0.010111","0.107116587835207","0.64725"
"0.010139","0.106795994427983","0.646259"
"0.010154","0.10643671899288","0.644118"
"0.010174","0.106247819054128","0.64372"
"0.010211","0.105660446995183","0.640986"
"0.010251","0.105017281749729","0.637966"
"0.010273","0.104796776587189","0.637377"
"0.010294","0.104331085507515","0.634756"
"0.010307","0.104243708592896","0.634778"
"0.010343","0.103638072702198","0.631903"
"0.010383","0.102987542528166","0.628818"
"0.010425","0.102294276502225","0.625532"
"0.010432","0.102300603149096","0.625974"
"0.010468","0.101687674275237","0.623028"
"0.010507","0.101028872861049","0.619855"
"0.010549","0.100331860357338","0.616483"
"0.010586","0.0998062871538783","0.614313"
"0.010625","0.0991355982432783","0.611036"
"0.010666","0.0984290180681259","0.607568"
"0.010736","0.0973064343922685","0.602416"
"0.010779","0.0965918276178518","0.598845"
"0.010899","0.0945893975920363","0.589369"
